"Salesprice","Seller","Fueltype","Gearbox","Mileage","Year","Cartype","Drivetype","Horspower","Color","Brand","Modell","Region"
38000,"Privat","Diesel","Manuell",20495,2009,"Halvkombi","Tvåhjulsdriven",105,"Grå","Volkswagen","golf","Göteborg"
189900,"Företag","Miljöbränsle/Hybrid","Automat",15607,2020,"Kombi","Tvåhjulsdriven",218,"Vit","Volkswagen","passat","Göteborg"
229900,"Privat","Bensin","Automat",15483,2015,"Halvkombi","Fyrhjulsdriven",301,"Blå","Volkswagen","golf","Göteborg"
164900,"Företag","Bensin","Automat",3469,2016,"Kombi","Tvåhjulsdriven",111,"Silver","Volkswagen","golf","Göteborg"
339000,"Företag","Miljöbränsle/Hybrid","Automat",7178,2021,"Kombi","Tvåhjulsdriven",150,"Blå","Volkswagen","tiguan","Göteborg"
79900,"Företag","Diesel","Automat",15275,2012,"Halvkombi","Tvåhjulsdriven",105,"Blå","Volkswagen","golf","Göteborg"
134900,"Privat","Diesel","Automat",16118,2014,"Halvkombi","Tvåhjulsdriven",184,"Grå","Volkswagen","golf","Göteborg"
264900,"Företag","Miljöbränsle/Hybrid","Automat",10512,2021,"Halvkombi","Tvåhjulsdriven",245,"Vit","Volkswagen","golf","Göteborg"
249900,"Företag","Diesel","Automat",14479,2017,"Familjebuss","Fyrhjulsdriven",184,"Grå","Volkswagen","sharan","Göteborg"
269000,"Företag","Diesel","Automat",12704,2019,"Suv","Fyrhjulsdriven",191,"Svart","Volkswagen","tiguan","Göteborg"
249900,"Företag","Diesel","Automat",11553,2017,"Kombi","Fyrhjulsdriven",240,"Grå","Volkswagen","passat","Göteborg"
449800,"Företag","Diesel","Automat",13892,2020,"Suv","Fyrhjulsdriven",286,"Vit","Volkswagen","touareg","Göteborg"
99900,"Företag","Bensin","Manuell",12070,2017,"Halvkombi","Tvåhjulsdriven",90,"Grå","Volkswagen","polo","Göteborg"
199900,"Företag","Bensin","Automat",11300,2017,"Suv","Fyrhjulsdriven",151,"Vit","Volkswagen","tiguan","Göteborg"
59000,"Privat","Diesel","Manuell",22565,2012,"Kombi","Tvåhjulsdriven",141,"Svart","Volkswagen","passat","Göteborg"
